stage,kill_advantage,team_advantage,enemy_hero_0,enemy_hero_1,enemy_hero_2,enemy_hero_3,enemy_hero_4,ally_hero_0,ally_hero_1,ally_hero_2,ally_hero_3,enemy_wr_0,enemy_wr_1,enemy_wr_2,enemy_wr_3,enemy_wr_4,ally_wr_0,ally_wr_1,ally_wr_2,ally_wr_3,item_37,item_40,item_96,item_98,item_100,item_102,item_104,item_119,item_127,item_139,item_152,item_156,item_160,item_176,item_204,item_206,item_208,item_210,item_249,item_250,item_254,item_267,item_598,item_610,item_911,item_1107,item_1466,item_1806,item_1808,target_item_0,target_item_1,target_item_2,target_item_3,target_item_4,target_item_5,target_item_6,target_item_7,target_item_8
4,0.0,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,63,108,147,160,174,225,1097,0
5,0.13333333333333333,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,63,147,160,225,603,1097,0,0
6,0.375,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,63,147,160,225,603,1097,0,0,0
0,-0.5,0.17790280871592223,49,85,102,120,30,44,51,68,60,0.555,0.515,0.481,0.56,0.523,0.483,0.546,0.573,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,29,42,63,0,0,0,0
1,-0.6,0.17790280871592223,49,85,102,120,30,44,51,68,60,0.555,0.515,0.481,0.56,0.523,0.483,0.546,0.573,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11,14,20,63,75,174,0,0
2,0.6,0.17790280871592223,49,85,102,120,30,44,51,68,60,0.555,0.515,0.481,0.56,0.523,0.483,0.546,0.573,0.552,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,20,63,75,160,1097,0,0,0
3,0.75,0.17790280871592223,49,85,102,120,30,44,51,68,60,0.555,0.515,0.481,0.56,0.523,0.483,0.546,0.573,0.552,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,63,75,108,160,1097,0,0,0
0,0.0,-0.055337447877621404,35,22,84,129,19,18,52,62,41,0.605,0.567,0.579,0.585,0.536,0.522,0.535,0.574,0.486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,39,75,0,0
1,0.0,-0.055337447877621404,35,22,84,129,19,18,52,62,41,0.605,0.567,0.579,0.585,0.536,0.522,0.535,0.574,0.486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,29,63,75,174,236,0,0
2,1.7,-0.055337447877621404,35,22,84,129,19,18,52,62,41,0.605,0.567,0.579,0.585,0.536,0.522,0.535,0.574,0.486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,63,75,108,174,236,1097,0
3,1.3333333333333333,-0.055337447877621404,35,22,84,129,19,18,52,62,41,0.605,0.567,0.579,0.585,0.536,0.522,0.535,0.574,0.486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,75,108,139,236,1097,0,0,0
0,0.6666666666666666,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,39,42,75,0
1,0.6,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,63,75,174,0,0,0,0
2,0.6,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11,63,75,108,174,0,0,0
3,0.0,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,63,75,108,160,174,1097,0,0
4,-0.8,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,63,75,108,139,160,1097,0,0
5,1.75,-0.10787404982768933,2,136,3,35,19,87,72,110,32,0.522,0.576,0.577,0.605,0.536,0.542,0.573,0.592,0.557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,63,108,139,160,603,1097,0,0,0
0,0.16666666666666666,0.21399648982937336,30,109,53,34,50,31,135,86,70,0.523,0.593,0.587,0.517,0.497,0.558,0.61,0.539,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,38,39,42,63
1,0.9,0.21399648982937336,30,109,53,34,50,31,135,86,70,0.523,0.593,0.587,0.517,0.497,0.558,0.61,0.539,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,16,38,39,42,63,75,174
2,1.4,0.21399648982937336,30,109,53,34,50,31,135,86,70,0.523,0.593,0.587,0.517,0.497,0.558,0.61,0.539,0.534,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,63,75,108,174,1097,0,0
3,1.7142857142857142,0.21399648982937336,30,109,53,34,50,31,135,86,70,0.523,0.593,0.587,0.517,0.497,0.558,0.61,0.539,0.534,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,108,160,603,1097,1575,0
0,0.16666666666666666,0.06190473082656034,45,135,53,84,81,2,101,102,112,0.527,0.488,0.587,0.579,0.576,0.559,0.503,0.526,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,25,42,63,75,0
1,0.8,0.06190473082656034,45,135,53,84,81,2,101,102,112,0.527,0.488,0.587,0.579,0.576,0.559,0.503,0.526,0.586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,39,42,63,75,174,0,0
2,1.7,0.06190473082656034,45,135,53,84,81,2,101,102,112,0.527,0.488,0.587,0.579,0.576,0.559,0.503,0.526,0.586,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,63,75,108,160,174,216,1575
3,2.0,0.06190473082656034,45,135,53,84,81,2,101,102,112,0.527,0.488,0.587,0.579,0.576,0.559,0.503,0.526,0.586,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63,75,108,160,174,603,0,0
0,0.3333333333333333,0.12815866532823428,28,10,112,5,106,93,75,14,29,0.59,0.552,0.443,0.505,0.59,0.508,0.525,0.53,0.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,20,29,42,63,0,0,0
1,-0.4,0.12815866532823428,28,10,112,5,106,93,75,14,29,0.59,0.552,0.443,0.505,0.59,0.508,0.525,0.53,0.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,63,236,0,0,0,0,0
2,-0.1,0.12815866532823428,28,10,112,5,106,93,75,14,29,0.59,0.552,0.443,0.505,0.59,0.508,0.525,0.53,0.557,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11,20,63,108,236,1575,0,0
3,0.3333333333333333,0.12815866532823428,28,10,112,5,106,93,75,14,29,0.59,0.552,0.443,0.505,0.59,0.508,0.525,0.53,0.557,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,20,63,108,160,236,1575,0,0
0,0.3333333333333333,-0.10551833419162815,69,31,63,93,13,72,91,41,135,0.588,0.504,0.54,0.544,0.54,0.573,0.559,0.486,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,63,75,0,0
1,0.9,-0.10551833419162815,69,31,63,93,13,72,91,41,135,0.588,0.504,0.54,0.544,0.54,0.573,0.559,0.486,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,38,63,75,174,0,0,0
2,1.6,-0.10551833419162815,69,31,63,93,13,72,91,41,135,0.588,0.504,0.54,0.544,0.54,0.573,0.559,0.486,0.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,38,63,75,108,174,603,0,0
3,2.0,-0.10551833419162815,69,31,63,93,13,72,91,41,135,0.588,0.504,0.54,0.544,0.54,0.573,0.559,0.486,0.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,63,75,108,174,603,1097,0,0
0,0.3333333333333333,-0.09428374711654275,86,74,62,54,60,27,131,14,19,0.56,0.581,0.55,0.52,0.515,0.586,0.535,0.53,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,42,63,237,0,0,0,0
1,1.0,-0.09428374711654275,86,74,62,54,60,27,131,14,19,0.56,0.581,0.55,0.52,0.515,0.586,0.535,0.53,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,38,39,40,63,174,237,0
2,1.5714285714285714,-0.09428374711654275,86,74,62,54,60,27,131,14,19,0.56,0.581,0.55,0.52,0.515,0.586,0.535,0.53,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,39,63,75,174,216,1097,0
0,-0.16666666666666666,0.03652667226652051,39,15,74,102,89,135,27,51,109,0.572,0.565,0.581,0.481,0.637,0.61,0.586,0.546,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,0,0
1,1.0,0.03652667226652051,39,15,74,102,89,135,27,51,109,0.572,0.565,0.581,0.481,0.637,0.61,0.586,0.546,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,42,63,75,174,236,0,0
2,1.1,0.03652667226652051,39,15,74,102,89,135,27,51,109,0.572,0.565,0.581,0.481,0.637,0.61,0.586,0.546,0.586,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,16,63,75,108,174,236,0
3,1.5,0.03652667226652051,39,15,74,102,89,135,27,51,109,0.572,0.565,0.581,0.481,0.637,0.61,0.586,0.546,0.586,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,108,174,236,0,0,0
0,-0.3333333333333333,-0.2012421691419619,51,56,94,63,42,55,79,62,12,0.575,0.585,0.519,0.54,0.475,0.562,0.479,0.574,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,75,237
1,0.1,-0.2012421691419619,51,56,94,63,42,55,79,62,12,0.575,0.585,0.519,0.54,0.475,0.562,0.479,0.574,0.444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,63,75,174,236,0,0,0
2,1.0,-0.2012421691419619,51,56,94,63,42,55,79,62,12,0.575,0.585,0.519,0.54,0.475,0.562,0.479,0.574,0.444,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,63,75,108,174,236,1097,0
3,1.0,-0.2012421691419619,51,56,94,63,42,55,79,62,12,0.575,0.585,0.519,0.54,0.475,0.562,0.479,0.574,0.444,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,108,236,1097,0,0,0
0,0.16666666666666666,0.13624063254300678,100,109,53,119,102,27,138,135,19,0.539,0.593,0.587,0.491,0.481,0.586,0.531,0.61,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,0,0
1,0.8,0.13624063254300678,100,109,53,119,102,27,138,135,19,0.539,0.593,0.587,0.491,0.481,0.586,0.531,0.61,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,63,75,174,236,0
2,0.7,0.13624063254300678,100,109,53,119,102,27,138,135,19,0.539,0.593,0.587,0.491,0.481,0.586,0.531,0.61,0.507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,16,63,75,108,174,236,0
3,2.0,0.13624063254300678,100,109,53,119,102,27,138,135,19,0.539,0.593,0.587,0.491,0.481,0.586,0.531,0.61,0.507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.16666666666666666,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,29,42,63,237,1123,0,0
1,-0.4,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,20,38,42,63,0,0,0
2,0.2,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,63,108,174,0,0,0,0
3,0.4,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,63,108,174,603,1097,0,0
4,0.1,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,63,96,108,116,603,1097,0,0
5,0.125,0.01799999717422862,62,26,109,42,106,6,68,129,39,0.55,0.539,0.593,0.475,0.59,0.587,0.573,0.509,0.482,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,48,63,96,108,110,116,603,1097,0
0,0.0,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,73,75,0
1,0.0,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,29,39,63,73,75,174,216
2,1.0,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,63,73,75,108,174,0,0
3,-0.7,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63,75,96,108,160,174,0,0
4,-0.5,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63,96,108,160,174,1097,0,0
5,-0.13333333333333333,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,63,96,108,160,603,1097,0,0
6,-0.6,-0.10913988070083702,14,110,70,20,104,22,75,54,27,0.557,0.569,0.549,0.536,0.488,0.553,0.525,0.59,0.586,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,63,96,108,160,225,603,1097,0,0
0,0.3333333333333333,-0.011196552041430774,26,106,67,63,41,22,60,114,40,0.539,0.59,0.584,0.54,0.573,0.553,0.552,0.485,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,0,0
1,1.4,-0.011196552041430774,26,106,67,63,41,22,60,114,40,0.539,0.59,0.584,0.54,0.573,0.553,0.552,0.485,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,14,16,20,38,63,108,174,0
2,0.8,-0.011196552041430774,26,106,67,63,41,22,60,114,40,0.539,0.59,0.584,0.54,0.573,0.553,0.552,0.485,0.526,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,14,16,20,63,108,174,1097,0
3,1.7142857142857142,-0.011196552041430774,26,106,67,63,41,22,60,114,40,0.539,0.59,0.584,0.54,0.573,0.553,0.552,0.485,0.526,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,14,20,63,108,160,1097,0,0
0,0.0,-1.6187505521347845e-05,86,84,59,1,39,53,112,137,52,0.56,0.579,0.48,0.64,0.572,0.528,0.586,0.516,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,73,75,237
1,0.3,-1.6187505521347845e-05,86,84,59,1,39,53,112,137,52,0.56,0.579,0.48,0.64,0.572,0.528,0.586,0.516,0.535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,42,63,73,75,174,1123,0
2,0.8,-1.6187505521347845e-05,86,84,59,1,39,53,112,137,52,0.56,0.579,0.48,0.64,0.572,0.528,0.586,0.516,0.535,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11,63,73,75,108,174,1097,1123
3,0.4,-1.6187505521347845e-05,86,84,59,1,39,53,112,137,52,0.56,0.579,0.48,0.64,0.572,0.528,0.586,0.516,0.535,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,63,73,75,108,112,1097,0,0
4,0.5,-1.6187505521347845e-05,86,84,59,1,39,53,112,137,52,0.56,0.579,0.48,0.64,0.572,0.528,0.586,0.516,0.535,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,63,108,112,139,1097,0,0,0
0,0.6666666666666666,-0.10939681436237692,14,93,112,13,102,135,37,128,54,0.557,0.544,0.443,0.54,0.481,0.61,0.595,0.48,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,42,63,0,0,0
1,1.0,-0.10939681436237692,14,93,112,13,102,135,37,128,54,0.557,0.544,0.443,0.54,0.481,0.61,0.595,0.48,0.59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,14,20,63,174,0,0,0
2,0.0,-0.10939681436237692,14,93,112,13,102,135,37,128,54,0.557,0.544,0.443,0.54,0.481,0.61,0.595,0.48,0.59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14,20,63,108,174,0,0,0
3,1.1428571428571428,-0.10939681436237692,14,93,112,13,102,135,37,128,54,0.557,0.544,0.443,0.54,0.481,0.61,0.595,0.48,0.59,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14,20,63,96,108,174,0,0
0,0.16666666666666666,0.018320698363466725,39,53,87,51,60,16,8,27,62,0.572,0.587,0.448,0.575,0.515,0.52,0.564,0.586,0.574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,0,0
1,-0.3,0.018320698363466725,39,53,87,51,60,16,8,27,62,0.572,0.587,0.448,0.575,0.515,0.52,0.564,0.586,0.574,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,14,16,20,42,63,174,0
2,-0.2,0.018320698363466725,39,53,87,51,60,16,8,27,62,0.572,0.587,0.448,0.575,0.515,0.52,0.564,0.586,0.574,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,11,20,63,108,174,0,0,0
